week,defunciones_2021,promedio_2016_2019,resta_def_prom,defunciones_covid_2021
1,2467,1867.5,599.5,470
2,2409,1843.5,565.5,480
3,2642,1910.25,731.75,573
4,2579,1932.75,646.25,627
5,2673,1922.25,750.75,657
6,2522,1830.0,692.0,624
7,2506,1823.75,682.25,596
8,2547,1841.75,705.25,599
9,2685,1822.25,862.75,621
10,2650,1773.75,876.25,697
11,2557,1797.5,759.5,714
12,2718,1842.25,875.75,786
13,2817,1853.75,963.25,835
14,2854,1885.75,968.25,926
15,2942,1955.25,986.75,996
16,2626,1926.0,700.0,870
17,2786,2006.0,780.0,852
18,2742,1925.75,816.25,838
19,2772,2014.25,757.75,815
20,2903,2101.5,801.5,900
21,3062,2177.0,885.0,1009
22,3024,2244.0,780.0,1027
23,3088,2339.75,748.25,1072
24,3202,2386.0,816.0,1087
25,3205,2455.0,750.0,1077
26,3325,2430.25,894.75,1069
27,3147,2358.0,789.0,875
28,3049,2377.25,671.75,820
29,2870,2459.75,410.25,699
30,2741,2373.5,367.5,633
31,2730,2322.0,408.0,585
32,2572,2275.25,296.75,343
33,2661,2232.5,428.5,319
34,2383,2158.0,225.0,274
35,2366,2179.5,186.5,191
36,2389,2188.5,200.5,192
37,2341,2192.75,148.25,143
38,2437,2189.75,247.25,70
39,2243,2099.25,143.75,72
40,2271,2045.0,226.0,73
41,2370,1996.0,374.0,73
42,2250,1988.25,261.75,77
43,2399,1952.5,446.5,112
44,2228,1952.5,275.5,114
45,2352,1927.25,424.75,131
46,2371,1932.0,439.0,173
47,2450,1891.0,559.0,210
48,2460,1880.75,579.25,208
49,2467,1861.25,605.75,205
50,2381,1914.0,467.0,195
51,2436,1889.75,546.25,155
52,2037,1184.75,852.25,102
